Haemophilus,Haemophilus_influenzae,Gram-negative_bacteria,Facultative_anaerobic_organism,Epiglottitis,Cellulitis,Meningitis,Pathogenic_bacteria,Hib_vaccine,Osteomyelitis
133,772,1252,297,307,2895,5804,518,329,1081
140,943,1632,369,301,3598,6920,576,498,1288
169,1244,1930,477,342,4685,8203,715,656,1674
168,1237,1884,462,375,4214,7486,652,711,1550
193,1185,2012,453,341,4186,7616,548,633,1496
169,962,1585,348,310,3566,6469,560,578,1235
115,807,1240,315,350,3081,5744,464,362,1080
111,754,1460,295,296,3207,6091,490,403,1260
162,1086,1957,455,333,3713,7210,548,638,1458
222,1311,2313,502,353,4371,8373,763,790,1875
170,1131,2511,424,411,4009,7431,665,723,1525
153,1036,2387,439,426,3766,7164,615,646,1555
147,1139,1818,478,323,3916,6519,570,600,1377
123,701,1269,407,298,2856,5390,408,396,1042
115,750,1422,394,341,3080,5858,523,390,1100
158,1105,1885,581,365,4015,7620,671,644,1649
143,1107,2029,600,436,4221,7552,800,755,1632
178,1093,2042,517,357,3883,7197,671,696,1677
169,1116,2427,568,361,3928,7375,670,694,1574
131,1022,1693,446,324,3285,6803,558,671,1314
102,721,1244,369,294,3020,5642,471,454,1071
110,762,1300,442,320,3107,6157,470,409,1039
165,1117,1845,519,412,3919,8240,685,749,1526
168,1169,1880,532,364,3982,7504,670,759,1571
