"Hepatitis_A","Hepatitis_B","Hepatitis_C","Viral_hepatitis","World_Hepatitis_Day","Jaundice","Hepatitis","Picornavirales","Hepatocellular_carcinoma","Hepatitis_C_virus"
"1820.0","3548.0","4214.0","243.0","29.0","3320.0","2525.0","16.0","678.0","257.0"
"2118.0","3839.0","4993.0","264.0","38.0","3693.0","2903.0","9.0","740.0","253.0"
"2051.0","4097.0","5039.0","341.0","41.0","3584.0","2779.0","3.0","837.0","246.0"
"2032.0","4037.0","4874.0","260.0","24.0","3507.0","2805.0","3.0","829.0","293.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1317.0","2829.0","3737.0","276.0","32.0","2886.0","2029.0","10.0","558.0","170.0"
"1417.0","2679.0","3505.0","230.0","25.0","3132.0","2193.0","5.0","430.0","196.0"
"1696.0","3147.0","3837.0","258.0","39.0","3406.0","2365.0","3.0","607.0","219.0"
"1924.0","3770.0","4738.0","318.0","37.0","3226.0","2574.0","14.0","712.0","270.0"
"1949.0","3796.0","4853.0","317.0","44.0","3142.0","2606.0","14.0","827.0","311.0"
"2014.0","4212.0","5271.0","314.0","51.0","3110.0","2842.0","23.0","853.0","333.0"
"2008.0","4183.0","5708.0","265.0","42.0","3088.0","2894.0","19.0","835.0","271.0"
"1604.0","3232.0","4417.0","278.0","33.0","2866.0","2459.0","6.0","626.0","208.0"
"1512.0","2808.0","3883.0","271.0","44.0","2759.0","2227.0","10.0","525.0","175.0"
"1964.0","3975.0","4985.0","332.0","32.0","3319.0","2652.0","7.0","816.0","228.0"
"2110.0","4074.0","5623.0","331.0","24.0","3325.0","2871.0","13.0","732.0","301.0"
"1976.0","4412.0","5086.0","337.0","44.0","3361.0","2935.0","8.0","835.0","292.0"
"2843.0","4545.0","5434.0","337.0","35.0","3480.0","3018.0","8.0","822.0","336.0"
"2306.0","3981.0","4969.0","296.0","38.0","3115.0","2807.0","7.0","765.0","283.0"
"1726.0","3295.0","4219.0","260.0","51.0","3196.0","2363.0","12.0","552.0","205.0"
"1556.0","3503.0","4168.0","238.0","38.0","3524.0","2665.0","5.0","531.0","216.0"
"2247.0","5595.0","4969.0","331.0","60.0","3815.0","2823.0","13.0","971.0","321.0"
"2188.0","4509.0","5688.0","289.0","33.0","3500.0","3140.0","6.0","917.0","306.0"
