"Listeriosis","Listeria_monocytogenes","Central_nervous_system","Meningitis","Meningoencephalitis","Brain_abscess","Immunodeficiency","Gastroenteritis","Gentamicin","Listeria"
"484.0","683.0","1888.0","6038.0","169.0","331.0","570.0","5152.0","1051.0","1575.0"
"620.0","832.0","1672.0","5610.0","142.0","341.0","624.0","4837.0","1019.0","2550.0"
"337.0","674.0","1370.0","5186.0","147.0","293.0","411.0","4449.0","836.0","1528.0"
"194.0","344.0","1081.0","4041.0","99.0","212.0","299.0","3123.0","615.0","739.0"
"202.0","401.0","1278.0","4414.0","117.0","218.0","286.0","3645.0","632.0","581.0"
"255.0","550.0","1636.0","5373.0","176.0","260.0","464.0","4854.0","850.0","827.0"
"258.0","544.0","1802.0","5785.0","163.0","273.0","439.0","5121.0","1028.0","865.0"
"253.0","547.0","1918.0","5773.0","184.0","243.0","458.0","4716.0","928.0","728.0"
"227.0","463.0","1550.0","5073.0","152.0","246.0","388.0","4384.0","836.0","698.0"
"206.0","344.0","1228.0","5133.0","139.0","221.0","370.0","3913.0","765.0","587.0"
"185.0","261.0","1174.0","3826.0","85.0","194.0","266.0","3199.0","543.0","486.0"
"170.0","280.0","1240.0","3938.0","67.0","186.0","312.0","3236.0","542.0","440.0"
"242.0","418.0","1643.0","4898.0","141.0","233.0","365.0","4494.0","741.0","610.0"
"257.0","436.0","1765.0","5417.0","198.0","237.0","424.0","4957.0","827.0","731.0"
"283.0","550.0","1763.0","5761.0","190.0","275.0","476.0","5088.0","937.0","953.0"
"269.0","533.0","1703.0","5852.0","169.0","248.0","438.0","4935.0","965.0","1113.0"
"240.0","467.0","1456.0","5438.0","137.0","244.0","331.0","4369.0","851.0","837.0"
"179.0","256.0","1167.0","4300.0","115.0","191.0","252.0","3319.0","588.0","448.0"
"162.0","272.0","1351.0","4295.0","137.0","187.0","279.0","3462.0","596.0","429.0"
"227.0","426.0","1899.0","5685.0","221.0","252.0","431.0","5102.0","871.0","657.0"
"233.0","420.0","1959.0","6224.0","214.0","287.0","466.0","5291.0","1023.0","669.0"
"219.0","416.0","1581.0","5473.0","150.0","250.0","362.0","4320.0","898.0","647.0"
"198.0","403.0","1662.0","5892.0","181.0","248.0","382.0","4522.0","841.0","629.0"
"185.0","333.0","1259.0","5551.0","152.0","232.0","388.0","3815.0","759.0","544.0"
"152.0","275.0","1150.0","4180.0","107.0","196.0","266.0","3240.0","525.0","418.0"
"173.0","340.0","1388.0","4662.0","112.0","222.0","281.0","3604.0","625.0","500.0"
"248.0","466.0","1741.0","5906.0","154.0","255.0","437.0","5407.0","932.0","675.0"
"210.0","393.0","1709.0","5885.0","161.0","269.0","403.0","4750.0","922.0","662.0"
"250.0","473.0","1788.0","5842.0","227.0","321.0","514.0","5105.0","862.0","896.0"
"213.0","462.0","1645.0","5389.0","144.0","253.0","410.0","4422.0","881.0","770.0"
"278.0","387.0","1394.0","5436.0","157.0","233.0","408.0","4186.0","754.0","688.0"
"186.0","257.0","1158.0","4584.0","99.0","185.0","253.0","3134.0","617.0","490.0"
"218.0","270.0","1627.0","4527.0","106.0","212.0","295.0","3353.0","661.0","487.0"
"275.0","409.0","1785.0","6059.0","155.0","297.0","382.0","4873.0","865.0","688.0"
"250.0","477.0","1798.0","6495.0","170.0","326.0","409.0","5249.0","1017.0","682.0"
"354.0","602.0","1739.0","6344.0","177.0","279.0","451.0","4912.0","928.0","1055.0"
"291.0","484.0","1753.0","6121.0","181.0","310.0","442.0","4841.0","920.0","866.0"
"264.0","364.0","1379.0","5505.0","149.0","245.0","321.0","4179.0","753.0","747.0"
"221.0","357.0","1145.0","4320.0","119.0","227.0","253.0","3343.0","571.0","466.0"
"238.0","306.0","1330.0","4753.0","132.0","241.0","294.0","3592.0","562.0","484.0"
"246.0","440.0","1547.0","5761.0","128.0","242.0","407.0","4685.0","799.0","625.0"
"237.0","435.0","1572.0","6899.0","182.0","328.0","389.0","5173.0","993.0","700.0"
"212.0","437.0","1721.0","7396.0","165.0","275.0","410.0","4861.0","959.0","699.0"
"286.0","544.0","1759.0","7196.0","198.0","281.0","397.0","4762.0","971.0","713.0"
"237.0","449.0","1441.0","5656.0","181.0","257.0","434.0","4101.0","868.0","658.0"
"184.0","246.0","1185.0","4642.0","151.0","199.0","284.0","3282.0","589.0","529.0"
"215.0","315.0","1321.0","4834.0","124.0","207.0","268.0","3570.0","642.0","632.0"
"239.0","426.0","1578.0","6205.0","148.0","284.0","397.0","4805.0","895.0","687.0"
"227.0","424.0","1648.0","6397.0","147.0","276.0","416.0","4343.0","912.0","690.0"
"235.0","433.0","1621.0","5977.0","147.0","282.0","402.0","4512.0","913.0","702.0"
"230.0","411.0","1517.0","5851.0","164.0","266.0","403.0","4317.0","917.0","680.0"
"181.0","327.0","1225.0","5242.0","157.0","218.0","304.0","3782.0","790.0","544.0"
"260.0","499.0","1150.0","4426.0","154.0","173.0","269.0","3259.0","608.0","1574.0"
"281.0","410.0","1238.0","4641.0","184.0","194.0","287.0","3230.0","634.0","898.0"
"271.0","499.0","1422.0","6088.0","769.0","243.0","339.0","4233.0","765.0","1112.0"
"237.0","461.0","1384.0","6275.0","460.0","280.0","378.0","4764.0","866.0","953.0"
"240.0","467.0","1469.0","8864.0","575.0","236.0","345.0","4130.0","854.0","729.0"
"230.0","394.0","1319.0","7593.0","724.0","246.0","358.0","3697.0","797.0","615.0"
"261.0","511.0","1424.0","5808.0","373.0","243.0","357.0","4037.0","754.0","597.0"
"156.0","348.0","1035.0","4765.0","136.0","183.0","264.0","3260.0","580.0","453.0"
"180.0","312.0","1060.0","4749.0","167.0","193.0","278.0","3463.0","626.0","502.0"
"260.0","586.0","1341.0","5938.0","165.0","219.0","373.0","4350.0","851.0","644.0"
"265.0","829.0","1401.0","5965.0","160.0","253.0","425.0","4535.0","843.0","669.0"
"233.0","632.0","1485.0","5430.0","162.0","199.0","407.0","4085.0","806.0","706.0"
"225.0","470.0","1472.0","5442.0","178.0","234.0","431.0","3931.0","868.0","623.0"
"206.0","425.0","1350.0","5277.0","160.0","222.0","351.0","3956.0","824.0","643.0"
"216.0","742.0","1088.0","4227.0","102.0","182.0","265.0","3023.0","567.0","1118.0"
"241.0","560.0","1196.0","4366.0","115.0","166.0","288.0","3043.0","570.0","717.0"
