"Hepatitis","Hepatitis_A#Virology","Jaundice","Hepatitis_B","Hepatitis_C","Hepatitis_A_vaccine","Viral_hepatitis","World_Hepatitis_Day","Picornavirales","Hepatitis_A"
"3195.0","2202.0","4158.0","4301.0","5383.0","301.0","373.0","54.0","14.0","2202.0"
"3812.0","2705.0","4719.0","5088.0","6388.0","299.0","454.0","73.0","9.0","2705.0"
"3531.0","2357.0","4143.0","4582.0","5779.0","283.0","396.0","56.0","13.0","2357.0"
"3276.0","2161.0","3984.0","4442.0","5672.0","261.0","327.0","56.0","9.0","2161.0"
"2425.0","1549.0","3219.0","3239.0","4334.0","150.0","277.0","31.0","6.0","1549.0"
"2755.0","1687.0","3571.0","3222.0","4237.0","170.0","310.0","40.0","17.0","1687.0"
"3396.0","2273.0","4298.0","4707.0","5936.0","290.0","393.0","71.0","7.0","2273.0"
"3546.0","2511.0","4454.0","4932.0","6377.0","296.0","389.0","60.0","9.0","2511.0"
"3842.0","2612.0","4558.0","5180.0","6712.0","356.0","354.0","68.0","6.0","2612.0"
"3635.0","2490.0","4646.0","5113.0","6758.0","325.0","406.0","59.0","10.0","2490.0"
"3075.0","2084.0","3800.0","4360.0","6051.0","275.0","361.0","48.0","18.0","2084.0"
"2349.0","1478.0","3083.0","3129.0","4223.0","144.0","274.0","39.0","4.0","1478.0"
"2490.0","1541.0","3530.0","3106.0","4401.0","154.0","288.0","52.0","7.0","1541.0"
"3282.0","2191.0","4076.0","4483.0","6173.0","308.0","374.0","63.0","12.0","2191.0"
"3622.0","2521.0","4233.0","5734.0","6151.0","286.0","386.0","94.0","11.0","2521.0"
"3491.0","2419.0","4084.0","4771.0","6400.0","311.0","410.0","67.0","7.0","2419.0"
"3121.0","2156.0","3687.0","4390.0","6045.0","289.0","328.0","58.0","6.0","2156.0"
"2895.0","1884.0","3690.0","3911.0","5301.0","214.0","301.0","51.0","4.0","1884.0"
"2286.0","1409.0","3231.0","3002.0","4000.0","139.0","263.0","40.0","8.0","1409.0"
"2189.0","1335.0","3017.0","2745.0","3867.0","124.0","248.0","38.0","10.0","1335.0"
"2932.0","1832.0","3693.0","3726.0","4769.0","199.0","342.0","65.0","9.0","1832.0"
"3072.0","2209.0","3879.0","4443.0","5608.0","273.0","344.0","92.0","14.0","2209.0"
"3302.0","2209.0","4561.0","4584.0","6013.0","284.0","390.0","91.0","7.0","2209.0"
"3232.0","2327.0","4164.0","4665.0","5866.0","306.0","400.0","69.0","13.0","2327.0"
"3067.0","1970.0","3871.0","4055.0","5303.0","253.0","299.0","78.0","8.0","1970.0"
"2338.0","1374.0","3154.0","3174.0","4079.0","145.0","262.0","56.0","9.0","1374.0"
"2205.0","1379.0","3238.0","2906.0","4004.0","138.0","263.0","38.0","9.0","1379.0"
"3250.0","2134.0","4091.0","4538.0","5853.0","307.0","365.0","101.0","11.0","2134.0"
"4028.0","2320.0","4545.0","5062.0","6281.0","277.0","565.0","107.0","7.0","2320.0"
