,Measles,Measles_virus,Measles_vaccine,Conjunctivitis,Pneumonia,Morbillivirus,Q_fever,Typhoid-fever,Pertussis,Meningococcal,Listeriosis,Malaria,Lyme,Legionnaires,Hepatitis A,Hepatitis B,Hepatitis C,Haemophilus
11/26/11,1.5302585733,1.3900329451,1.1102893298,4.1509241683,2.1219109387,0.8495307691,2.3632525411,2.0371996164,3.7808886526,1.6938230063,0.7855069781,2.9120400592,1.5896890341,0.8750677989,1.1040659465,3.1813292224,3.2938926717,3.8114684509
12/3/11,1.7657650893,1.2770113306,1.1730435407,4.1364447595,1.8197953196,0.8644013686,2.1319420923,1.8860012599,3.3223499208,1.8263378204,0.7919149598,2.8712301798,1.3616214876,0.9334207432,1.0771599399,3.3295485711,3.3385065378,3.8730260263
12/10/11,1.4427433771,1.3711960094,1.1487975956,4.0155731726,1.6875418179,0.843334686,2.1209852816,1.9186760074,3.2243227532,1.4727882963,0.8494305029,2.5938814853,1.1129767411,0.8841854465,1.011444484,3.0063872364,2.7576023228,3.669249225
12/17/11,0.8651735484,0.8374828297,0.7665674019,2.9905254576,1.15845855,0.5694678111,0.8134725345,0.9460121348,2.2996315291,0.7762904333,0.640155198,1.3022289934,0.7105399779,0.6769109259,0.6385638585,1.4114939317,1.7231678003,1.1036426912
12/24/11,0.833107493,0.9505044442,0.8892233596,3.3246535551,1.3687689758,0.5384873954,0.7599059043,1.0148403102,2.196465073,0.7360059298,0.63749823,1.1486966803,0.7184443721,0.7200677909,0.6575107585,1.4729062038,1.93475368,1.076047916
12/31/11,1.1049453828,1.1011999302,0.9890596042,4.0999314676,1.6399250164,0.6289502093,1.1482639735,1.475516979,2.8679987574,1.2178297939,0.701578047,1.9709365066,0.903510296,1.1808129129,0.8015494587,2.145453573,2.9612685813,1.879834188
1/7/12,1.4067166688,1.5030545597,1.1402402032,4.7423765425,1.91998107,0.7404797058,2.0321133723,1.9747076087,3.605962503,1.6090135253,0.7334616633,2.7497910728,1.0730251837,1.0051462371,1.025108791,3.1245643655,3.5078544379,3.1010798795
1/14/12,1.3692427989,1.3398011165,1.2899945701,4.5022072176,1.692563226,0.6673659247,1.7326272124,1.6856044242,2.9755431258,1.4706680593,0.7384630149,3.008814943,1.0017138017,0.763832499,0.9874262949,2.9816563485,3.5663276411,2.9171147116
1/21/12,1.4202742884,1.2832903092,1.264322393,4.513381544,1.7272975183,0.7107385067,2.0479398767,2.038814718,3.3840213816,1.69117271,0.7650326951,2.8121945291,1.1934812772,0.839205052,1.0175722918,3.3838237413,3.6283646738,3.2206572386
1/28/12,1.4197411236,1.5156125169,1.308535587,4.8081634218,1.7929913892,0.7280875395,1.9115884543,3.0670132376,3.3724103967,1.8713928572,0.7747228138,3.0213946873,1.0948052263,1.7017345087,1.0172201189,3.0729448611,3.2548225405,3.4782084737
2/4/12,1.8691228972,1.2958482664,1.6422738904,5.1503181481,1.868347142,0.7801346379,2.0966368133,2.7306993912,3.4536872911,1.932879731,0.7903520374,3.079439807,1.1561501983,0.9072834869,1.0174314227,2.9552656694,3.3049801414,3.4831613821
2/11/12,2.1353244733,1.3586380522,1.6964707089,4.706650175,1.9255219342,0.7206522398,2.0296785255,2.0721106584,3.3678421404,2.0887171524,0.7351808779,2.8932199692,1.3300468696,1.4002442969,1.1154763472,3.2616631135,3.1987252237,3.8404783428
2/18/12,1.8056001177,1.5093335383,1.3998144392,4.9304514726,1.9006919366,0.7280875395,2.2707283616,2.1933675162,3.8143891992,2.0357112267,0.7800367498,3.0312009447,1.3903178751,1.0999697714,1.1056155071,3.4600081545,5.2055572359,3.6395317748
