"date","Pertussis","Pathogenic_bacteria","Common_cold","Fever","Bordetella_pertussis","Airborne_disease","Pertussis_vaccine","Paroxysmal_attack","Syncope_(medicine)","Lymphocytosis"
"2013-08-01","1706.0","776.0","1831.0","2768.0","215.0","240.0","98.0","171.0","1579.0","381.0"
"2013-08-02","1277.0","493.0","1717.0","2529.0","187.0","197.0","88.0","150.0","1529.0","354.0"
"2013-08-03","1000.0","322.0","1510.0","2113.0","133.0","176.0","34.0","132.0","1039.0","271.0"
"2013-08-04","919.0","351.0","1599.0","2285.0","196.0","262.0","47.0","117.0","1021.0","250.0"
"2013-08-05","1387.0","457.0","1997.0","2828.0","227.0","301.0","68.0","137.0","1507.0","356.0"
"2013-08-06","1484.0","492.0","2058.0","2684.0","229.0","270.0","87.0","165.0","1582.0","375.0"
"2013-08-07","1599.0","517.0","2093.0","2628.0","223.0","320.0","73.0","167.0","1658.0","451.0"
"2013-08-08","1317.0","468.0","1874.0","2430.0","220.0","205.0","67.0","191.0","1681.0","427.0"
"2013-08-09","1166.0","400.0","1840.0","2577.0","178.0","234.0","62.0","156.0","1599.0","309.0"
"2013-08-10","946.0","313.0","1525.0","2463.0","147.0","161.0","34.0","97.0","1109.0","224.0"
"2013-08-11","1076.0","355.0","1757.0","2763.0","171.0","229.0","43.0","130.0","1199.0","233.0"
"2013-08-12","1384.0","446.0","2048.0","3253.0","241.0","250.0","66.0","184.0","1728.0","363.0"
"2013-08-13","1388.0","515.0","2296.0","3408.0","262.0","222.0","75.0","180.0","1957.0","445.0"
"2013-08-14","1420.0","440.0","2192.0","3181.0","227.0","251.0","97.0","182.0","1862.0","411.0"
"2013-08-15","1487.0","463.0","2085.0","2959.0","239.0","234.0","94.0","184.0","1668.0","400.0"
"2013-08-16","1247.0","428.0","1953.0","2861.0","194.0","227.0","58.0","134.0","1628.0","380.0"
"2013-08-17","1095.0","313.0","2389.0","2565.0","133.0","195.0","65.0","120.0","1158.0","249.0"
"2013-08-18","1184.0","338.0","1705.0","2700.0","143.0","245.0","43.0","1092.0","1143.0","235.0"
"2013-08-19","1752.0","533.0","2192.0","3229.0","225.0","270.0","77.0","352.0","1811.0","360.0"
"2013-08-20","1587.0","470.0","1850.0","2689.0","324.0","194.0","66.0","252.0","1647.0","396.0"
