"date","Meningococcal_disease","Saliva","Neisseria_meningitidis","Meningitis","Meningococcal_vaccine","Common_cold","Gram-negative_bacteria","Disseminated_intravascular_coagulation","Sepsis","Rash"
"2015-07-21","319.0","474.0","368.0","1863.0","200.0","779.0","982.0","719.0","1993.0","357.0"
"2015-07-22","328.0","503.0","333.0","1938.0","180.0","803.0","1053.0","810.0","2061.0","348.0"
"2015-07-23","343.0","408.0","310.0","1672.0","181.0","691.0","969.0","654.0","1812.0","288.0"
"2015-07-24","282.0","399.0","297.0","1478.0","149.0","657.0","792.0","602.0","1764.0","311.0"
"2015-07-25","202.0","341.0","223.0","1224.0","108.0","478.0","587.0","524.0","1352.0","201.0"
"2015-07-26","196.0","343.0","208.0","1252.0","76.0","565.0","591.0","505.0","1208.0","210.0"
"2015-07-27","306.0","499.0","323.0","1703.0","169.0","704.0","988.0","653.0","1964.0","324.0"
"2015-07-28","303.0","469.0","273.0","1845.0","189.0","753.0","1048.0","663.0","3113.0","323.0"
"2015-07-29","371.0","446.0","351.0","2045.0","273.0","804.0","1112.0","703.0","2867.0","356.0"
"2015-07-30","350.0","514.0","341.0","2073.0","251.0","713.0","1081.0","757.0","2329.0","297.0"
"2015-07-31","377.0","314.0","259.0","1733.0","173.0","637.0","860.0","558.0","2415.0","334.0"
"2015-08-01","329.0","302.0","286.0","1757.0","138.0","536.0","608.0","459.0","1393.0","240.0"
"2015-08-02","248.0","297.0","223.0","1429.0","96.0","547.0","761.0","436.0","1297.0","300.0"
"2015-08-03","324.0","336.0","319.0","1772.0","209.0","621.0","900.0","513.0","1633.0","290.0"
"2015-08-04","426.0","391.0","452.0","2003.0","247.0","905.0","1267.0","671.0","1956.0","324.0"
"2015-08-05","344.0","358.0","434.0","1880.0","242.0","785.0","1177.0","682.0","2023.0","382.0"
"2015-08-06","362.0","388.0","365.0","1843.0","203.0","777.0","1110.0","666.0","2070.0","338.0"
"2015-08-07","262.0","360.0","280.0","1617.0","180.0","613.0","1038.0","620.0","2088.0","303.0"
"2015-08-08","186.0","257.0","224.0","1179.0","103.0","520.0","569.0","476.0","1224.0","262.0"
"2015-08-09","200.0","329.0","245.0","1330.0","79.0","710.0","626.0","536.0","1273.0","232.0"
"2015-08-10","258.0","416.0","303.0","1932.0","129.0","727.0","967.0","621.0","1794.0","265.0"
"2015-08-11","326.0","434.0","321.0","2072.0","177.0","776.0","1038.0","720.0","1898.0","343.0"
"2015-08-12","355.0","467.0","354.0","2078.0","194.0","736.0","954.0","652.0","1809.0","290.0"
"2015-08-13","369.0","406.0","407.0","2164.0","200.0","743.0","978.0","627.0","1892.0","311.0"
"2015-08-14","255.0","300.0","269.0","1688.0","138.0","599.0","771.0","552.0","1589.0","266.0"
"2015-08-15","215.0","291.0","204.0","1250.0","79.0","524.0","616.0","491.0","1323.0","266.0"
"2015-08-16","214.0","318.0","235.0","1313.0","85.0","586.0","609.0","479.0","1326.0","257.0"
"2015-08-17","356.0","444.0","398.0","2059.0","179.0","800.0","1020.0","695.0","2159.0","334.0"
"2015-08-18","350.0","434.0","386.0","2601.0","183.0","882.0","1002.0","684.0","2248.0","394.0"
"2015-08-19","357.0","398.0","365.0","2209.0","157.0","850.0","1048.0","833.0","2070.0","356.0"
"2015-08-20","292.0","444.0","367.0","1933.0","175.0","798.0","938.0","746.0","2717.0","308.0"
