"date","Lyme_disease","Borrelia","Erythema_chronicum_migrans","Fever","Ixodes","Lyme_disease_controversy","Headache","Delayed_onset_muscle_soreness","Ixodes_ricinus","Vaccine"
"2014-12-24","2715.0","95.0","102.0","1136.0","21.0","298.0","889.0","392.0","20.0","493.0"
"2014-12-25","1503.0","70.0","67.0","934.0","18.0","152.0","482.0","235.0","26.0","458.0"
"2014-12-26","1930.0","73.0","87.0","1185.0","26.0","85.0","594.0","305.0","31.0","488.0"
"2014-12-27","1770.0","89.0","87.0","1142.0","21.0","68.0","499.0","322.0","31.0","485.0"
"2014-12-28","1892.0","94.0","94.0","1330.0","24.0","76.0","515.0","382.0","38.0","531.0"
"2014-12-29","2264.0","130.0","96.0","1603.0","27.0","81.0","628.0","566.0","44.0","695.0"
"2014-12-30","2294.0","119.0","104.0","1585.0","31.0","95.0","586.0","570.0","34.0","636.0"
"2014-12-31","1913.0","71.0","71.0","1334.0","27.0","98.0","531.0","540.0","42.0","531.0"
"2015-01-01","1557.0","74.0","76.0","1304.0","11.0","63.0","510.0","358.0","39.0","420.0"
"2015-01-02","2314.0","130.0","81.0","1447.0","46.0","105.0","634.0","525.0","50.0","573.0"
"2015-01-03","2083.0","89.0","82.0","1486.0","35.0","79.0","505.0","409.0","46.0","739.0"
"2015-01-04","2243.0","134.0","93.0","1571.0","43.0","71.0","597.0","533.0","75.0","703.0"
"2015-01-05","3038.0","138.0","149.0","1854.0","29.0","86.0","708.0","777.0","36.0","976.0"
"2015-01-06","3057.0","177.0","158.0","1937.0","45.0","102.0","811.0","987.0","61.0","1034.0"
"2015-01-07","3515.0","175.0","171.0","2129.0","49.0","113.0","1068.0","1181.0","46.0","995.0"
"2015-01-08","2874.0","183.0","140.0","1768.0","49.0","89.0","788.0","1053.0","47.0","1046.0"
"2015-01-09","2670.0","150.0","128.0","1611.0","33.0","63.0","757.0","897.0","54.0","886.0"
"2015-01-10","1951.0","181.0","101.0","1290.0","27.0","63.0","584.0","604.0","36.0","668.0"
"2015-01-11","2062.0","119.0","108.0","1379.0","46.0","64.0","566.0","575.0","41.0","792.0"
"2015-01-12","2980.0","192.0","143.0","1901.0","36.0","81.0","798.0","827.0","64.0","1239.0"
"2015-01-13","3085.0","174.0","143.0","1841.0","52.0","68.0","927.0","901.0","49.0","1162.0"
"2015-01-14","3261.0","178.0","164.0","1855.0","42.0","79.0","905.0","996.0","68.0","1086.0"
"2015-01-15","3176.0","192.0","169.0","1709.0","35.0","85.0","798.0","1048.0","60.0","1137.0"
"2015-01-16","4497.0","153.0","134.0","1615.0","40.0","97.0","730.0","871.0","57.0","1090.0"
"2015-01-17","2375.0","100.0","92.0","1336.0","27.0","60.0","603.0","590.0","46.0","678.0"
"2015-01-18","1952.0","106.0","96.0","1363.0","22.0","76.0","607.0","579.0","47.0","787.0"
"2015-01-19","18224.0","199.0","177.0","2036.0","70.0","326.0","748.0","798.0","51.0","998.0"
"2015-01-20","12638.0","230.0","188.0","2033.0","65.0","262.0","921.0","885.0","67.0","1300.0"
"2015-01-21","6272.0","208.0","152.0","1911.0","50.0","206.0","907.0","1038.0","62.0","1214.0"
